iter	RMSE
0	3727447.58
1	3717942.354
2	3708438.68
3	3698722.358
4	3689134.064
5	3679887.106
6	3671044.753
7	3661990.209
8	3653240.048
9	3643909.818
10	3635131.709
11	3626110.69
12	3617447.776
13	3608607.046
14	3600319.374
15	3591488.823
16	3582919.509
17	3574327
18	3566704.667
19	3558320.725
20	3549655.441
21	3542809.016
22	3534321.049
23	3526006.149
24	3517688.576
25	3509557.989
26	3502037.063
27	3494135.715
28	3486128.175
29	3478843.377
30	3471470.623
31	3463708.271
32	3456043.237
33	3448124.286
34	3440786.139
35	3433195.825
36	3426062.218
37	3418744.503
38	3411322.597
39	3403851.998
40	3397026.996
41	3390096.322
42	3382663.249
43	3375381.742
44	3368342.539
45	3361142.194
46	3353945.393
47	3346916.533
48	3340288.229
49	3333268.298
50	3326319.312
51	3319973.96
52	3313164.263
53	3306856.362
54	3300058.38
55	3293492.191
56	3287152.4
57	3280581.622
58	3274093.707
59	3267348.783
60	3261058.807
61	3254637.213
62	3248319.125
63	3242061.364
64	3235931.741
65	3230013.571
66	3223722.12
67	3217489.167
68	3211580.178
69	3205356.509
70	3199413.689
71	3193628.525
72	3187814.879
73	3182495.593
74	3176618.487
75	3171027.368
76	3165495.64
77	3160057.658
78	3154708.936
79	3148900.929
80	3143648.287
81	3138653.106
82	3132976.05
83	3127353.182
84	3121906.364
85	3116394.305
86	3111041.112
87	3105739.552
88	3100616.125
89	3095273.469
90	3089883.827
91	3085433.321
92	3080539.416
93	3075397.639
94	3070321.569
95	3065563.306
96	3060731.12
97	3055688.391
98	3050968.235
99	3046121.741
100	3041461.262
101	3036498.022
102	3031531.475
103	3026795.431
104	3021995.636
105	3016992.814
106	3012811.652
107	3008091.354
108	3003423.981
109	2998840.581
110	2994261.558
111	2989598.633
112	2985196.379
113	2980927.819
114	2976700.111
115	2972113.817
116	2967735.47
117	2963487.187
118	2959407.341
119	2955260.44
120	2951247.106
121	2947317.981
122	2943634.156
123	2939700.045
124	2935376.836
125	2931616.197
126	2927507.93
127	2923601.829
128	2919420.335
129	2915472.617
130	2911766.857
131	2907688.799
132	2903673.003
133	2899755.296
134	2895838.656
135	2892375.473
136	2888488.816
137	2884667.301
138	2880922.249
139	2877390.144
140	2873626.302
141	2870099.272
142	2867011.147
143	2863440.665
144	2860001.195
145	2856476.424
146	2853118.772
147	2850203.784
148	2846828.152
149	2843589.549
150	2840432.975
151	2837282.429
152	2834230.581
153	2830931.759
154	2827655.62
155	2824168.702
156	2821118.302
157	2818093.003
158	2815009.383
159	2811825.584
160	2808511.216
161	2805838.88
162	2803259.629
163	2800417.83
164	2797673.251
165	2794641.334
166	2792044.297
167	2789118.736
168	2786403.063
169	2783244.363
170	2780396.347
171	2777306.537
172	2774464.625
173	2771436.107
174	2768350.66
175	2765311.719
176	2762381.089
177	2759269.052
178	2756629.267
179	2753720.68
180	2751214.325
181	2748380.803
182	2745621.158
183	2743172.034
184	2740524.446
185	2737648.113
186	2735458.591
187	2732677.176
188	2729871.658
189	2726961.39
190	2724340.559
191	2721673.125
192	2719389.751
193	2716960.874
194	2714463.26
195	2712230.661
196	2709987.289
197	2707675.707
198	2705055.547
199	2702775.625
200	2700432.732
201	2698316.954
202	2696057.057
203	2693858.315
204	2691732.786
205	2689405.691
206	2687391.692
207	2685036.899
208	2682476.256
209	2680191.486
210	2677800.929
211	2675559.567
212	2673422.666
213	2671076.891
214	2668835.349
215	2666804.463
216	2664796.639
217	2662840.776
218	2661000.522
219	2658631.661
220	2656747.309
221	2654614.236
222	2652470.414
223	2650432.157
224	2648278.755
225	2646462.716
226	2644500.86
227	2642756.918
228	2640713.644
229	2638830.676
230	2636994.96
231	2635103.41
232	2633245.126
233	2631194.682
234	2629597.715
235	2628069.542
236	2626226.829
237	2624680.221
238	2622655.506
239	2620633.897
240	2618711.564
241	2617131.06
242	2615248.443
243	2613323.191
244	2611712.197
245	2609648.482
246	2607788.686
247	2605853.121
248	2604410.831
249	2602511.569
250	2600767.702
251	2598937.677
252	2597351.022
253	2595799.069
254	2594076.361
255	2592644.681
256	2590756.411
257	2589033.538
258	2587506.254
259	2586181.355
260	2584358.701
261	2582891.621
262	2581499.509
263	2579838.545
264	2578233.96
265	2576617.797
266	2575115.319
267	2573770.788
268	2572176.895
269	2570418.835
270	2568784.106
271	2567400.588
272	2565825.729
273	2564203.125
274	2562974.002
275	2561496.081
276	2560208.641
277	2559004.49
278	2557537.244
279	2555972.322
280	2554670.311
281	2553060.365
282	2551588.956
283	2550283.223
284	2548730.741
285	2547158.11
286	2545985.427
287	2544219.805
288	2542968.708
289	2541519.604
290	2540334.842
291	2538962.724
292	2537556.679
293	2536347.712
294	2534873.289
295	2533724.778
296	2532383.051
297	2531212.313
298	2529622.554
299	2528226.172
300	2526997.439
301	2525654.411
302	2524598.084
303	2523446.702
304	2522274.84
305	2520951.645
306	2519855.454
307	2518650.405
308	2517339.276
309	2515957.984
310	2514728.223
311	2513555.181
312	2512351.52
313	2511131.207
314	2510008.597
315	2508961.91
316	2507649.168
317	2506661.96
318	2505392.506
319	2504488.056
320	2503420.189
321	2502228.136
322	2501288.093
323	2500211.193
324	2498939.017
325	2497961.19
326	2497020.077
327	2495831.123
328	2494835.71
329	2493828.92
330	2492610.816
331	2491648.731
332	2490414.102
333	2489217.466
334	2488132.975
335	2487093.854
336	2486063.41
337	2484860.607
338	2483806.889
339	2483008.286
340	2482041.668
341	2480972.635
342	2480073.295
343	2479116.546
344	2478277.18
345	2477188.94
346	2476189.29
347	2475200.33
348	2474362.5
349	2473314.208
350	2472565.847
351	2471780.936
352	2470917.14
353	2470058.602
354	2469309.069
355	2468414.546
356	2467595.037
357	2466647.007
358	2465770.596
359	2465016.15
360	2464217.527
361	2463388.781
362	2462190.339
363	2461360.181
364	2460562.547
365	2459645.546
366	2458799.322
367	2457852.565
368	2457033.329
369	2456290.175
370	2455291.499
371	2454495.116
372	2453737.347
373	2452780.087
374	2451871.018
375	2451018.34
376	2450261.475
377	2449536.678
378	2448488.968
379	2447519.039
380	2446537.571
381	2445872.895
382	2444940.13
383	2444151.054
384	2443156.709
385	2442400.072
386	2441730.326
387	2440992.634
388	2440045.995
389	2439444.491
390	2438534.646
391	2437735.836
392	2437109.636
393	2436281.404
394	2435439.185
395	2434795.615
396	2434099.343
397	2433319.527
398	2432477.04
399	2431702.307
400	2431101.456
401	2430485.916
402	2429785.173
403	2428704.336
404	2427838.101
405	2427322.81
406	2426566.196
407	2425913.027
408	2425145.665
409	2424351.178
410	2423811.46
411	2423105.889
412	2422266.333
413	2421624.72
414	2421040.729
415	2420404.712
416	2419696.281
417	2418768.498
418	2418146.028
419	2417455.042
420	2416560.21
421	2415757.008
422	2414826.445
423	2414192.325
424	2413584.903
425	2413024.837
426	2412519.704
427	2411880.215
428	2411111.073
429	2410368.363
430	2409636.013
431	2408937.579
432	2408502.037
433	2407820.188
434	2406978.051
435	2406492.324
436	2405768.703
437	2405277.965
438	2404648.7
439	2404021.371
440	2403521.857
441	2402949.216
442	2402125.757
443	2401498.884
444	2401031.801
445	2400531.273
446	2400139.353
447	2399530.822
448	2398893.049
449	2398457.919
450	2398045.263
451	2397354.662
452	2396476.91
453	2395980.703
454	2395554.737
455	2395002.859
456	2394178.243
457	2393673.278
458	2393245.565
459	2392728.715
460	2392266.115
461	2391526.469
462	2391051.489
463	2390394.571
464	2389563.644
465	2388962.875
466	2388471.701
467	2387920.434
468	2387219.525
469	2386678.437
470	2385998.046
471	2385429.186
472	2385005.109
473	2384360.249
474	2383955.727
475	2383395.017
476	2382721.275
477	2382310.496
478	2381670.284
479	2381270.715
480	2380841.179
481	2380231.834
482	2379794.49
483	2379166.919
484	2378571.051
485	2378036.757
486	2377571.122
487	2376895.172
488	2376325.454
489	2375950.549
490	2375302.389
491	2374870.543
492	2374358.02
493	2373833.048
494	2373323.119
495	2372923.096
496	2372269.873
497	2371902.586
498	2371502.994
499	2371095.051
500	2370435.489
501	2370217.871
502	2369634.658
503	2369148.412
504	2368557.36
505	2368252.914
506	2367738.73
507	2367153.416
508	2366730.162
509	2365986.483
510	2365510.844
511	2365090.437
512	2364622.103
513	2364200.969
514	2363717.978
515	2363165.548
516	2362782.26
517	2362146.246
518	2361727.139
519	2361353.422
520	2360879.175
521	2360509.297
522	2360192.192
523	2359709.03
524	2359339.992
525	2358919.098
526	2358456.68
527	2358045.796
528	2357477.551
529	2356982.659
530	2356582.145
531	2356237.514
532	2355885.197
533	2355288.276
534	2354862.654
535	2354363.098
536	2353643.364
537	2353195.909
538	2352785.941
539	2352464.387
540	2352020.421
541	2351738.533
542	2351233.701
543	2350562.377
544	2350149.192
545	2349767.227
546	2349289.725
547	2348768.357
548	2348453.621
549	2348120.785
550	2347657.039
551	2347363.086
552	2346984.745
553	2346553.017
554	2346262.783
555	2345981.408
556	2345243.925
557	2344855.899
558	2344522.676
559	2344211.134
560	2343952.378
561	2343490.714
562	2343097.853
563	2342713.959
564	2342360.565
565	2342026.878
566	2341616.036
567	2341348.547
568	2340977.529
569	2340535.988
570	2340123.992
571	2339756.19
572	2339249.477
573	2338938.286
574	2338613.53
575	2338317.459
576	2337939.772
577	2337576.324
578	2337209.797
579	2336953.755
580	2336623.525
581	2336387.666
582	2336055.881
583	2335509.32
584	2335027.675
585	2334444.032
586	2334138.154
587	2333807.538
588	2333532.397
589	2333169.087
590	2332747.866
591	2332457.56
592	2332111.891
593	2331767.129
594	2331213.505
595	2330916.001
596	2330318.563
597	2329894.033
598	2329380.796
599	2328823.225
600	2328411.597
601	2328148.623
602	2327827.605
603	2327379.558
604	2327101.534
605	2326814.58
606	2326465.222
607	2325867.047
608	2325562.398
609	2325246.204
610	2324725.456
611	2324434.365
612	2324321.488
613	2323978.32
614	2323671.816
615	2323371.542
616	2322834.786
617	2322340.902
618	2322043.399
619	2321783.603
620	2321267.551
621	2321003.324
622	2320533.264
623	2320299.324
624	2320042.452
625	2319745.241
626	2319399.966
627	2318952.128
628	2318691.67
629	2318373.771
630	2318074.713
631	2317642.657
632	2317399.127
633	2317121.17
634	2316759.007
635	2316190.122
636	2315631.782
637	2315239.035
638	2314887.182
639	2314495.615
640	2314067.906
641	2313794.272
642	2313569.869
643	2313299.773
644	2313089.929
645	2312873.881
646	2312650.569
647	2312355.868
648	2311927.552
649	2311675.245
650	2311470.114
651	2311006.855
652	2310552.614
653	2310312.493
654	2309970.096
