iter	Passed	Remaining
0	7	4680
1	14	4631
2	21	4735
3	28	4655
4	35	4613
5	41	4531
6	49	4551
7	56	4540
8	62	4502
9	69	4468
10	76	4459
11	82	4416
12	89	4416
13	95	4374
14	101	4343
15	108	4332
16	115	4318
17	121	4298
18	127	4276
19	134	4262
20	141	4257
21	142	4109
22	149	4099
23	155	4091
24	162	4087
25	168	4081
26	175	4073
27	181	4074
28	189	4083
29	195	4075
30	202	4069
31	209	4071
32	215	4070
33	222	4062
34	229	4061
35	235	4053
36	242	4044
37	248	4036
38	255	4033
39	262	4035
40	269	4035
41	276	4032
42	283	4031
43	289	4021
44	295	4008
45	301	3996
46	308	3992
47	315	3988
48	322	3993
49	329	3989
50	336	3979
51	342	3966
52	348	3956
53	354	3950
54	361	3944
55	367	3932
56	373	3921
57	380	3915
58	386	3909
59	393	3902
60	400	3897
61	406	3889
62	413	3884
63	419	3876
64	426	3867
65	433	3866
66	439	3858
67	446	3853
68	453	3848
69	459	3837
70	465	3828
71	471	3818
72	478	3812
73	484	3803
74	490	3793
75	496	3782
76	502	3772
77	509	3765
78	515	3759
79	522	3753
80	528	3747
81	535	3741
82	542	3735
83	549	3735
84	556	3729
85	562	3724
86	569	3720
87	576	3714
88	583	3707
89	589	3700
90	596	3693
91	602	3686
92	609	3680
93	615	3673
94	621	3665
95	628	3658
96	634	3650
97	640	3641
98	647	3634
99	653	3627
100	660	3622
101	666	3615
102	673	3610
103	679	3602
104	685	3591
105	691	3582
106	698	3575
107	704	3569
108	710	3561
109	717	3555
110	724	3549
111	731	3544
112	737	3538
113	744	3531
114	750	3523
115	756	3516
116	763	3510
117	769	3503
118	776	3495
119	781	3486
120	787	3477
121	794	3469
122	800	3462
123	807	3457
124	814	3451
125	820	3445
126	827	3438
127	833	3431
128	840	3425
129	846	3419
130	853	3412
131	860	3408
132	866	3401
133	873	3395
134	880	3390
135	886	3383
136	893	3377
137	900	3372
138	907	3367
139	913	3360
140	920	3356
141	927	3350
142	934	3344
143	940	3337
144	946	3329
145	952	3321
146	959	3315
147	965	3308
148	972	3301
149	978	3294
150	984	3287
151	990	3278
152	996	3270
153	1003	3264
154	1010	3258
155	1016	3252
156	1023	3246
157	1030	3241
158	1037	3235
159	1044	3230
160	1051	3225
161	1058	3220
162	1064	3213
163	1072	3209
164	1078	3204
165	1085	3198
166	1092	3191
167	1098	3185
168	1105	3178
169	1111	3171
170	1118	3164
171	1124	3158
172	1130	3150
173	1137	3143
174	1143	3137
175	1150	3130
176	1156	3124
177	1163	3117
178	1169	3110
179	1176	3103
180	1182	3096
181	1188	3089
182	1195	3082
183	1201	3075
184	1208	3069
185	1214	3062
186	1220	3055
187	1227	3049
188	1234	3043
189	1240	3036
190	1246	3028
191	1253	3022
192	1260	3016
193	1266	3009
194	1272	3002
195	1278	2995
196	1284	2987
